rev,description,step,test_ssim,test_psnr,train time (min),mode,batch_size,optimizer,loss,max_epochs
70e8adb,Bicubic (baseline),,11.59,35.27,,,,,,
37fa1e7,U-Net model,1026,11.08,34.68,50.00,,2,adam,mse,
9c60da4,Nearest (baseline),,11.28,33.77,,,,,,
4637c2c,Augmentation,2560,10.56,33.04,52.92,,8 x 2,adam,vgg16,20
4cbd4d8,Reflect conv2d padding,2560,9.72,30.53,29.73,,8 x 2,adam,vgg16,20
49264fb,CARN + nearest neighbor filtering,2560,9.58,30.17,25.02,,8 x 2,adam,vgg16,20
main,L1 loss,2560,8.95,28.68,48.89,,8 x 2,adam,L1,20
a3ac157,Bigger dataset,2560,9.16,28.47,25.70,,8 x 2,adam,vgg16,20
e43655c,CARN,2560,9.16,28.47,25.70,,8 x 2,adam,vgg16,20
e59275e,Vanilla CARN,320,6.03,18.30,5.11,,16 x 2,adam,mse,
8af29cb,CARN + nearest neighbor filtering,1000,11.73,35.74,2.64,overfitting,1 x 1,adam,vgg16,1000
5e83fcf,More conv2D layers in head,500,11.16,32.49,1.56,overfitting,1 x 1,adam,vgg16,500
620ec9d,Smaller images,500,10.77,31.60,8.56,overfitting,1 x 1,adam,vgg16,500
c6175a3,CARN + ICNR,500,10.77,31.60,8.56,overfitting,1 x 1,adam,vgg16,500
2a0bd97,VGG16 content loss,500,10.68,29.96,9.77,overfitting,1 x 1,adam,vgg16,500
